Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
197.950 2031.4306231845 0.0000068129 0.0000326833 0.0062729851 0.0001630481 14212.2419311315 86381.8786292176 85787.7580688680
198.959 2031.4306224544 0.0000059362 0.0000284772 0.0056711086 0.0001434112 14212.2419321837 86381.8792555417 85787.7580678158
199.969 2031.4306218181 0.0000051722 0.0000248124 0.0051269574 0.0001261341 14212.2419331083 86381.8798211538 85787.7580668912
200.979 2031.4306212638 0.0000045066 0.0000216193 0.0046349980 0.0001109339 14212.2419339207 86381.8803319518 85787.7580660788
201.989 2031.4306207808 0.0000039267 0.0000188371 0.0041902272 0.0000975616 14212.2419346346 86381.8807932592 85787.7580653649
202.999 2031.4306203600 0.0000034213 0.0000164129 0.0037881208 0.0000857978 14212.2419352619 86381.8812098811 85787.7580647376
204.009 2031.4306199933 0.0000029810 0.0000143007 0.0034245884 0.0000754496 14212.2419358130 86381.8815861549 85787.7580641865
205.019 2031.4306196738 0.0000025974 0.0000124603 0.0030959311 0.0000663469 14212.2419362973 86381.8819259959 85787.7580637022
206.029 2031.4306193954 0.0000022631 0.0000108568 0.0027988048 0.0000583403 14212.2419367228 86381.8822329385 85787.7580632767
207.039 2031.4306191529 0.0000019719 0.0000094596 0.0025301858 0.0000512979 14212.2419370966 86381.8825101736 85787.7580629029
208.049 2031.4306189415 0.0000017181 0.0000082422 0.0022873401 0.0000451040 14212.2419374251 86381.8827605817 85787.7580625744
209.059 2031.4306187574 0.0000014970 0.0000071815 0.0020677958 0.0000396565 14212.2419377137 86381.8829867634 85787.7580622858
210.069 2031.4306185970 0.0000013044 0.0000062573 0.0018693180 0.0000348657 14212.2419379672 86381.8831910667 85787.7580620323
211.079 2031.4306184572 0.0000011365 0.0000054521 0.0016898860 0.0000306526 14212.2419381900 86381.8833756115 85787.7580618096
212.089 2031.4306183354 0.0000009902 0.0000047504 0.0015276728 0.0000269477 14212.2419383857 86381.8835423120 85787.7580616139
213.099 2031.4306182292 0.0000008628 0.0000041391 0.0013810267 0.0000236897 14212.2419385576 86381.8836928963 85787.7580614419
214.109 2031.4306181368 0.0000007518 0.0000036064 0.0012484541 0.0000208249 14212.2419387087 86381.8838289251 85787.7580612909
